,Id,week1,week2,week3,classes,LessAvg,DeptAvg
0,1000,69.0,59.0,73.0,COA111,67,67
1,1001,71.0,47.0,65.0,COA111,61,67
2,1002,76.0,59.0,64.0,COA111,66,67
3,1003,56.0,69.0,50.0,COA113,58,64
4,1006,60.0,56.0,71.0,COA113,62,64
5,1008,60.0,27.0,72.0,COA113,53,64
6,1010,56.0,44.0,72.0,COA113,57,64
7,1011,72.0,61.0,59.0,COA111,64,67
8,1012,82.0,65.0,53.0,COA111,67,67
9,1012,59.0,50.0,67.0,COA113,59,64
10,1013,65.0,61.0,67.0,COA111,64,67
11,1013,47.0,38.0,62.0,COA113,49,64
12,1014,65.0,72.0,62.0,COA111,66,67
13,1015,56.0,76.0,53.0,COA111,62,67
14,1017,53.0,76.0,61.0,COA113,63,64
15,1018,76.0,50.0,41.0,COA113,56,64
16,1021,62.0,81.0,19.0,COA113,54,64
17,1022,61.0,44.0,69.0,COA113,58,64
18,1023,50.0,65.0,65.0,COA111,60,67
19,1023,69.0,47.0,50.0,COA113,55,64
20,1024,67.0,64.0,62.0,COA111,64,67
21,1025,65.0,44.0,50.0,COA113,53,64
22,1026,61.0,56.0,65.0,COA111,61,67
23,1026,59.0,67.0,59.0,COA113,62,64
24,1027,67.0,56.0,67.0,COA111,63,67
25,1029,38.0,73.0,50.0,COA111,54,67
26,1031,75.0,61.0,41.0,COA113,59,64
27,1032,47.0,53.0,44.0,COA113,48,64
28,1034,62.0,71.0,47.0,COA111,60,67
29,1036,44.0,53.0,80.0,COA111,59,67
30,1036,61.0,60.0,57.0,COA113,59,64
31,1038,59.0,50.0,59.0,COA111,56,67
32,1039,82.0,59.0,60.0,COA111,67,67
33,1041,50.0,76.0,75.0,COA111,67,67
34,1042,60.0,62.0,65.0,COA113,62,64
35,1043,59.0,53.0,53.0,COA113,55,64
36,1044,67.0,65.0,61.0,COA111,64,67
37,1044,62.0,59.0,62.0,COA113,61,64
38,1045,73.0,61.0,53.0,COA113,62,64
39,1046,60.0,57.0,62.0,COA111,60,67
40,1047,72.0,39.0,53.0,COA113,55,64
41,1049,38.0,81.0,47.0,COA111,55,67
42,1050,57.0,71.0,73.0,COA111,67,67
43,1053,53.0,67.0,65.0,COA111,62,67
44,1054,71.0,50.0,50.0,COA113,57,64
45,1056,71.0,53.0,65.0,COA113,63,64
46,1057,60.0,62.0,56.0,COA113,59,64
47,1058,62.0,62.0,53.0,COA111,59,67
48,1058,69.0,56.0,47.0,COA113,57,64
49,1059,71.0,72.0,35.0,COA111,59,67
50,1060,59.0,65.0,29.0,COA113,51,64
51,1061,73.0,61.0,50.0,COA113,61,64
52,1063,50.0,50.0,67.0,COA113,56,64
53,1065,53.0,69.0,76.0,COA111,66,67
54,1066,65.0,44.0,65.0,COA113,58,64
55,1067,88.0,35.0,71.0,COA111,65,67
56,1069,38.0,69.0,44.0,COA111,50,67
57,1070,71.0,47.0,60.0,COA113,59,64
58,1071,44.0,50.0,79.0,COA113,58,64
59,1072,69.0,47.0,44.0,COA113,53,64
60,1073,73.0,67.0,42.0,COA111,61,67
61,1073,71.0,61.0,56.0,COA113,63,64
62,1075,62.0,65.0,65.0,COA111,64,67
63,1075,38.0,75.0,67.0,COA113,60,64
64,1076,59.0,57.0,85.0,COA111,67,67
65,1078,61.0,50.0,67.0,COA111,59,67
66,1080,75.0,62.0,62.0,COA111,66,67
67,1080,56.0,76.0,29.0,COA113,54,64
68,1081,60.0,62.0,59.0,COA111,60,67
69,1082,69.0,50.0,44.0,COA113,54,64
70,1083,80.0,59.0,61.0,COA111,67,67
71,1084,65.0,78.0,56.0,COA111,66,67
72,1087,62.0,78.0,53.0,COA111,64,67
73,1088,65.0,44.0,50.0,COA113,53,64
74,1090,78.0,53.0,62.0,COA111,64,67
75,1090,47.0,56.0,81.0,COA113,61,64
76,1092,60.0,71.0,67.0,COA111,66,67
77,1092,56.0,47.0,62.0,COA113,55,64
78,1093,59.0,62.0,71.0,COA111,64,67
79,1094,53.0,59.0,43.0,COA111,52,67
80,1094,47.0,59.0,67.0,COA113,58,64
81,1095,80.0,50.0,50.0,COA113,60,64
82,1096,53.0,71.0,71.0,COA111,65,67
83,1096,72.0,50.0,56.0,COA113,59,64
84,1097,53.0,59.0,53.0,COA113,55,64
85,1098,81.0,67.0,53.0,COA111,67,67
86,1099,65.0,53.0,31.0,COA113,50,64
87,1101,53.0,50.0,69.0,COA113,57,64
88,1103,83.0,62.0,56.0,COA111,67,67
89,1103,71.0,65.0,53.0,COA113,63,64
90,1104,44.0,71.0,60.0,COA111,58,67
91,1105,81.0,56.0,53.0,COA111,63,67
92,1107,47.0,65.0,61.0,COA111,58,67
93,1107,71.0,56.0,50.0,COA113,59,64
94,1108,47.0,65.0,62.0,COA111,58,67
95,1110,36.0,50.0,59.0,COA111,48,67
96,1111,56.0,62.0,59.0,COA113,59,64
97,1112,67.0,56.0,67.0,COA113,63,64
98,1113,60.0,60.0,80.0,COA111,67,67
99,1115,53.0,71.0,53.0,COA113,59,64
100,1117,50.0,75.0,53.0,COA111,59,67
101,1117,53.0,44.0,56.0,COA113,51,64
102,1118,69.0,62.0,69.0,COA111,67,67
103,1118,59.0,75.0,56.0,COA113,63,64
104,1119,62.0,53.0,67.0,COA111,61,67
105,1119,69.0,62.0,29.0,COA113,53,64
